site,lat,lon,date,chl_a,turbidity,do,bod,proxy_method,source_document,source_url,retrieved_on,is_proxy
bellandur,12.93,77.665,2024-01-15,85.3,42.1,3.2,18.4,proxy_nechad_ndci,illustrative,,,True
bellandur,12.93,77.665,2024-03-10,102.7,55.8,2.8,22.1,proxy_nechad_ndci,illustrative,,,True
bellandur,12.93,77.665,2024-06-20,145.2,78.3,1.9,31.5,proxy_nechad_ndci,illustrative,,,True
bellandur,12.93,77.665,2023-11-05,78.4,38.6,3.8,15.2,proxy_nechad_ndci,illustrative,,,True
varthur,12.952,77.75,2024-01-18,92.1,48.3,2.9,20.3,proxy_nechad_ndci,illustrative,,,True
varthur,12.952,77.75,2024-03-14,118.5,62.4,2.4,25.7,proxy_nechad_ndci,illustrative,,,True
varthur,12.952,77.75,2024-07-02,167.3,89.1,1.6,38.2,proxy_nechad_ndci,illustrative,,,True
ulsoor,12.987,77.63,2024-01-22,35.6,18.2,5.8,8.4,proxy_nechad_ndci,illustrative,,,True
ulsoor,12.987,77.63,2024-04-08,48.9,24.7,5.1,11.2,proxy_nechad_ndci,illustrative,,,True
ulsoor,12.987,77.63,2024-08-15,62.3,31.5,4.6,14.8,proxy_nechad_ndci,illustrative,,,True
yamuna_delhi,28.61,77.26,2024-01-10,28.4,210.5,2.1,45.6,cpcb_wqms_proxy,illustrative,,,True
yamuna_delhi,28.61,77.26,2024-04-05,31.2,245.8,1.8,52.3,cpcb_wqms_proxy,illustrative,,,True
yamuna_delhi,28.61,77.26,2024-07-22,18.6,380.2,0.9,68.4,cpcb_wqms_proxy,illustrative,,,True
yamuna_delhi,28.61,77.26,2023-12-15,26.8,195.3,2.4,41.2,cpcb_wqms_proxy,illustrative,,,True
ganga_kanpur,26.45,80.325,2024-02-12,22.1,185.4,4.2,28.6,cpcb_nwmp_proxy,illustrative,,,True
ganga_kanpur,26.45,80.325,2024-05-18,25.8,220.7,3.8,33.1,cpcb_nwmp_proxy,illustrative,,,True
ganga_kanpur,26.45,80.325,2024-08-28,15.4,410.3,2.9,52.8,cpcb_nwmp_proxy,illustrative,,,True
ganga_varanasi,25.315,83.025,2024-02-20,19.8,162.3,4.8,24.5,cpcb_nwmp_proxy,illustrative,,,True
ganga_varanasi,25.315,83.025,2024-05-25,23.4,198.6,4.1,29.8,cpcb_nwmp_proxy,illustrative,,,True
ganga_varanasi,25.315,83.025,2024-09-05,13.2,355.8,3.2,48.2,cpcb_nwmp_proxy,illustrative,,,True
sutlej_ludhiana,30.875,75.8,2024-01-08,18.4,125.6,3.4,32.8,cpcb_ppcb_proxy,illustrative,,,True
sutlej_ludhiana,30.875,75.8,2024-04-12,21.6,148.3,2.9,38.4,cpcb_ppcb_proxy,illustrative,,,True
sutlej_ludhiana,30.875,75.8,2024-08-18,12.8,285.4,2.2,58.6,cpcb_ppcb_proxy,illustrative,,,True
buddha_nullah_ludhiana,30.905,75.86,2024-01-20,8.4,380.5,0.8,125.6,cpcb_ppcb_proxy,illustrative,,,True
buddha_nullah_ludhiana,30.905,75.86,2024-04-25,9.2,412.8,0.6,138.4,cpcb_ppcb_proxy,illustrative,,,True
buddha_nullah_ludhiana,30.905,75.86,2024-07-30,6.8,520.3,0.4,168.2,cpcb_ppcb_proxy,illustrative,,,True
beas_amritsar,31.6,75.15,2024-02-05,12.6,68.4,6.8,12.4,proxy_nechad_ndci,illustrative,,,True
beas_amritsar,31.6,75.15,2024-05-10,14.8,82.1,6.2,14.8,proxy_nechad_ndci,illustrative,,,True
beas_amritsar,31.6,75.15,2024-08-22,9.8,145.6,5.4,22.6,proxy_nechad_ndci,illustrative,,,True
ghaggar_patiala,30.325,76.35,2024-02-18,15.6,145.8,3.8,28.4,proxy_nechad_ndci,illustrative,,,True
ghaggar_patiala,30.325,76.35,2024-06-15,18.4,178.3,3.1,34.8,proxy_nechad_ndci,illustrative,,,True
hussain_sagar,17.44,78.46,2024-01-25,55.8,28.4,4.8,15.6,proxy_nechad_ndci,illustrative,,,True
hussain_sagar,17.44,78.46,2024-04-20,72.4,35.6,4.2,19.8,proxy_nechad_ndci,illustrative,,,True
hussain_sagar,17.44,78.46,2024-07-15,98.6,48.2,3.4,26.4,proxy_nechad_ndci,illustrative,,,True
dal_lake,34.105,74.865,2024-03-05,42.3,15.8,7.2,8.6,proxy_nechad_ndci,illustrative,,,True
dal_lake,34.105,74.865,2024-06-10,58.6,22.4,6.5,11.2,proxy_nechad_ndci,illustrative,,,True
dal_lake,34.105,74.865,2024-09-18,75.8,28.6,5.8,14.4,proxy_nechad_ndci,illustrative,,,True
chilika,19.875,85.275,2024-02-08,25.4,35.8,6.8,10.4,proxy_nechad_ndci,illustrative,,,True
chilika,19.875,85.275,2024-05-15,32.6,48.4,5.9,13.8,proxy_nechad_ndci,illustrative,,,True
chilika,19.875,85.275,2024-08-25,18.6,82.4,4.8,22.6,proxy_nechad_ndci,illustrative,,,True
