model,target,water_body_type,n,R2,RMSE,MAE,R2_log
dl_oof,chl_a,lagoon,30,0.7667105027763359,5.522011462290676,4.3890291035861395,0.705122269380428
dl_oof,chl_a,lake,150,0.04367017922900818,46.79166000704867,32.656953737742064,0.4018395403428048
dl_oof,chl_a,overall,390,0.5771173676018608,29.840501556178186,16.539929687379722,0.7095670924019079
dl_oof,chl_a,river,210,-0.2600675516956792,9.24377851738816,6.763612591948562,-0.2973283367060453
dl_oof,do,lagoon,30,-0.79357524225438,1.4059826929321542,1.1929598865405766,
dl_oof,do,lake,150,-1.2580002741907887,2.9382948337498216,2.57032125717135,
dl_oof,do,overall,390,-0.3543314763572749,2.307860026678098,1.9214399307585568,
dl_oof,do,river,210,0.0718371705707922,1.8553460498390282,1.5620218467805587,
dl_oof,turbidity,lagoon,30,0.17479428292485355,20.157651372658638,15.885365077834937,0.14516149265153044
dl_oof,turbidity,lake,150,-0.3575380925931777,32.289757792897994,24.413052727214623,-0.2826076472756709
dl_oof,turbidity,overall,390,0.8704210588431496,53.08915160158774,36.13023992556582,0.7749272538162109
dl_oof,turbidity,river,210,0.769966469236312,66.56949218739234,47.3917843312068,0.8428693412254593
baseline_mean,chl_a,lagoon,30,-4.84136268535216,27.631648539150717,25.155532758163687,-3.023378252275906
baseline_mean,chl_a,lake,150,-1.8876503822890385,81.30867966858226,64.84369907317634,-4.088510379817621
baseline_mean,chl_a,overall,390,-0.6375869744143954,58.721667748636264,47.23972498383608,-1.0993695985260827
baseline_mean,chl_a,river,210,-22.190299038491798,39.65571562681584,37.82034238083193,-7.263482190313512
baseline_mean,do,lagoon,30,-2.912145986981371,2.0764797531107346,1.791540975959012,
baseline_mean,do,lake,150,-0.11844668479690212,2.067954693517194,1.765387517889157,
baseline_mean,do,overall,390,-0.07707732777230758,2.058118711311045,1.7142452500511431,
baseline_mean,do,river,210,-0.13138852463270756,2.0484186566629705,1.6666728121800094,
baseline_mean,turbidity,lagoon,30,-23.33170375794206,109.45738687860351,107.18451385498044,-7.020565919942397
baseline_mean,turbidity,lake,150,-31.455489489313855,157.88208632664933,155.88186646231895,-6.640883821289283
baseline_mean,turbidity,overall,390,-0.33254782848506603,170.24719870119813,143.43252112938725,-0.505310011541384
baseline_mean,turbidity,river,210,-0.781054283999439,185.23295263620972,139.7184183593513,-0.6444363527642138
baseline_median,chl_a,lagoon,30,-0.0446626619964825,11.68524295495918,10.431532605489094,-0.1834328117875148
baseline_median,chl_a,lake,150,-2.141695230736202,84.80991538695072,69.47896525065104,-5.497336250039759
baseline_median,chl_a,overall,390,-0.43228067165285644,54.91743686821743,37.26863633241409,-0.6756962804869537
baseline_median,chl_a,river,210,-5.545152422274671,21.067475595080843,18.095130494662694,-3.160332635564724
baseline_median,do,lagoon,30,-3.619661120883621,2.256447502313449,1.9973498026529948,
baseline_median,do,lake,150,-0.11565873183199082,2.065375689165855,1.7620566395918529,
baseline_median,do,overall,390,-0.08360064268242251,2.0643417972475486,1.7234382078815729,
baseline_median,do,river,210,-0.11625127405592406,2.0346692503605333,1.6567233859783128,
baseline_median,turbidity,lagoon,30,-4.16493943656549,50.430286150151616,45.28591645558675,-2.4683171764836174
baseline_median,turbidity,lake,150,-19.508792066010184,125.50436073311873,122.15195763905844,-5.06143112647607
baseline_median,turbidity,overall,390,-0.5749017154053393,185.08247554028077,148.9365567525228,-0.6434305092377532
baseline_median,turbidity,river,210,-1.6994176352257395,228.04193198407674,182.8756475902739,-3.111056960091414
