model,target,water_body_type,n,R2,RMSE,MAE,R2_log
dl_oof,bod,lake,421,-0.014729360049905438,9.370920038779293,4.523139682569309,0.15673987139889156
dl_oof,bod,overall,2080,-0.021811449435658714,16.0229007787414,3.9023626679742796,0.08561474178713968
dl_oof,bod,reservoir,198,0.020331114590475652,8.206587701352863,2.743753085236032,0.28754080706816376
dl_oof,bod,river,969,-0.0403398161955133,10.925625801980438,3.377011824743306,0.004097323322508117
dl_oof,bod,unknown,492,-0.023997493888947785,27.350177303326536,4.872123930837041,-0.14731235937928444
dl_oof,do,lake,409,-0.2847911888379877,2.448714386038918,1.8232229554849813,
dl_oof,do,overall,2421,-0.019670490800486107,2.0350054639429174,1.482826530649598,
dl_oof,do,reservoir,242,0.1339164625670084,1.9923328595695993,1.4976675425317172,
dl_oof,do,river,1190,0.019952453068957876,1.8923804711799412,1.3596555872735647,
dl_oof,do,unknown,580,-0.050367348096633346,2.013491937595632,1.4893088754501767,
dl_oof,turbidity,lake,168,-0.07584029029105999,36.58741967850526,14.46569927945633,-0.08335898135602382
dl_oof,turbidity,overall,868,-0.05883158261451671,61.072367679596475,20.887841479974767,-0.0073314453910839905
dl_oof,turbidity,reservoir,78,-0.13572632043693034,57.370118537275985,23.514994582496463,0.021884073622593814
dl_oof,turbidity,river,403,-0.07608387581384313,58.61659883683511,23.158195707270057,0.026189333298515582
dl_oof,turbidity,unknown,219,-0.03394471888984807,79.12797665560475,20.700851498652412,-0.09745109401831464
baseline_mean,bod,lake,421,-0.04901463467035483,9.527915402313331,5.226810556609469,-0.06267034502154223
baseline_mean,bod,overall,2080,-0.027431476382539177,16.066903835550207,5.671511346498477,-0.5673325582790565
baseline_mean,bod,reservoir,198,-0.15770438044999802,8.921169600743454,5.530954872307488,-1.0949501853032646
baseline_mean,bod,river,969,-0.056269042154518445,11.0089522390664,5.3191253021844735,-0.7414114512841794
baseline_mean,bod,unknown,492,-0.017023545249592598,27.256883813491953,6.802631857419935,-0.9323019851383145
baseline_mean,do,lake,409,-0.16676462813006565,2.3335305190557705,1.6454380437497467,
baseline_mean,do,overall,2421,-0.04028921584906109,2.055477382249434,1.5055831392337158,
baseline_mean,do,reservoir,242,-0.05492996467043243,2.19884096930476,1.6645579271331998,
baseline_mean,do,river,1190,-0.046386093357360325,1.9553786284922616,1.4689038789287012,
baseline_mean,do,unknown,580,-0.019150042144319368,1.983345394080895,1.4158861825858453,
baseline_mean,turbidity,lake,168,-0.1655472943039067,38.08227019032071,23.07356956891063,-0.9722046187875515
baseline_mean,turbidity,overall,868,-0.058546656396937236,61.064149994270934,28.703098723210577,-0.6971194860659538
baseline_mean,turbidity,reservoir,78,-0.08809860690815108,56.154301444068764,33.78186088940797,-0.762314250139638
baseline_mean,turbidity,river,403,-0.065354711363113,58.323646471927546,29.532790674756566,-0.4993950628302073
baseline_mean,turbidity,unknown,219,-0.037676096560815164,79.27062957194948,29.685982707164726,-0.9951635210304379
baseline_median,bod,lake,421,-0.27891745974084525,10.520306119838285,5.268646080760095,-0.5356301325656638
baseline_median,bod,overall,2080,-0.04194669212680391,16.179999771203764,3.998798076923077,-0.09140943002719437
baseline_median,bod,reservoir,198,-0.05794220341593914,8.528132292831788,3.077272727272727,-0.01550288710620129
baseline_median,bod,river,969,-0.05463923168870166,11.000455619610003,3.3618266253869966,-0.04770968609313564
baseline_median,bod,unknown,492,-0.01910699844552366,27.284788471061475,4.537581300813009,-0.014693288303425645
baseline_median,do,lake,409,-0.27044381822898766,2.4350035018023553,1.7017114914425429,
baseline_median,do,overall,2421,-0.059964259579991186,2.07482400979536,1.4784386617100373,
baseline_median,do,reservoir,242,-0.006399521682623144,2.1476683493600626,1.5512396694214876,
baseline_median,do,river,1190,-0.03872520209180874,1.9482075364401032,1.409747899159664,
baseline_median,do,unknown,580,-0.05608647125231503,2.0189661061867863,1.4315517241379312,
baseline_median,turbidity,lake,168,-0.12024201751840158,37.334798238691604,14.952619047619047,-0.11021053618379151
baseline_median,turbidity,overall,868,-0.09231949892187119,62.03062499267251,21.413928571428574,-0.13450476807544232
baseline_median,turbidity,reservoir,78,-0.13722550366673603,57.407970946595285,24.96923076923077,-0.10755004891423425
baseline_median,turbidity,river,403,-0.13840532532722372,60.290101185788004,24.109553349875934,-0.18581593702536625
baseline_median,turbidity,unknown,219,-0.04342998294677858,79.49010251706508,20.143835616438356,-0.11604351101615729
